# CULTURES;x
CULTURE_ABENAKI;upper german;x
CULTURE_ABORIGIN;none;x
CULTURE_AFGHANI;none;x
CULTURE_AKA;none;x
CULTURE_ALBANIAN;tatar;x
CULTURE_ALEUTIAN;none;x
CULTURE_ALTAI;none;x
CULTURE_AMAZONIAN;none;x
CULTURE_ANDEAN;none;x
CULTURE_ANGLOSAXON;anglian;x
CULTURE_ARABIC;arabic;x
CULTURE_ARMENIAN;armenian;x
CULTURE_ASHANTI;occitan;x
CULTURE_AZTEK;none;x
CULTURE_BALTIC;baltic;x
CULTURE_BALUCHI;franco-provençal;x
CULTURE_BANTU;none;x
CULTURE_BASQUE;none;x
CULTURE_BENGALI;none;x
CULTURE_BERBER;berber;x
CULTURE_BURMANESE;none;x
CULTURE_CAMBODIAN;catalan;x
CULTURE_CANARY;none;x
CULTURE_CANTONESE;none;x
CULTURE_CARIBBEAN;none;x
CULTURE_CHEROKEE;none;x
CULTURE_CREE;none;x
CULTURE_CREEK;none;x
CULTURE_CZECH;czech;x
CULTURE_DAKOTA;none;x
CULTURE_DELAWARE;none;x
CULTURE_DRAVIDIAN;none;x
CULTURE_DUTCH;dutch;x
CULTURE_DYOLA;none;x
CULTURE_ETHIOPIAN;none;x
CULTURE_FILIPPINE;none;x
CULTURE_FRENCH;french;x
CULTURE_GAELIC;gaelic;x
CULTURE_GEORGIAN;none;x
CULTURE_GERMAN;middle german;x
CULTURE_GREEK;greek;x
CULTURE_GUAJIRO;none;x
CULTURE_GUJARATI;none;x
CULTURE_HAN;heathens;x
CULTURE_HAWAIIAN;none;x
CULTURE_HINDI;none;x
CULTURE_HURON;none;x
CULTURE_IBERIAN;castilian;x
CULTURE_INDIAN;none;x
CULTURE_INDONESIAN;none;x
CULTURE_INUIT;none;x
CULTURE_IROQUIS;none;x
CULTURE_ITALIAN;italian;x
CULTURE_JAPANESE;none;x
CULTURE_JAVAN;none;x
CULTURE_KHAZAK;none;x
CULTURE_KHMER;none;x
CULTURE_KONGOLESE;none;x
CULTURE_KOREAN;none;x
CULTURE_KURDISH;none;x
CULTURE_LAOTIAN;umbrian;x
CULTURE_LITHUANIAN;none;x
CULTURE_MADAGASQUE;portuguese;x
CULTURE_MAGYAR;magyar;x
CULTURE_MALAY;none;x
CULTURE_MALI;none;x
CULTURE_MALTESE;none;x
CULTURE_MANCHU;none;x
CULTURE_MARATHI;none;x
CULTURE_MATACO;none;x
CULTURE_MAYAN;none;x
CULTURE_MELANESE;none;x
CULTURE_MESOAMERICAN;none;x
CULTURE_MISSISSIPPIAN;none;x
CULTURE_MONGOL;none;x
CULTURE_NASKAPI;none;x
CULTURE_NAVAJO;none;x
CULTURE_NONE;none;x
CULTURE_NUBIAN;egyptian;x
CULTURE_PATAGONIAN;none;x
CULTURE_PERSIAN;none;x
CULTURE_POLISH;polish;x
CULTURE_POLYNESE;none;x
CULTURE_ROMANIAN;romanian;x
CULTURE_RUSSIAN;russian;x
CULTURE_RUTHENIAN;ruthenian;x
CULTURE_SCANDINAVIAN;scandinavian;x
CULTURE_SENEGAMBIAN;lower german;x
CULTURE_SHAWNEE;none;x
CULTURE_SHONA;none;x
CULTURE_SIKH;none;x
CULTURE_SLAVONIC;slavonic;x
CULTURE_SLOVAK;none;x
CULTURE_SOMALI;none;x
CULTURE_SWAHILI;none;x
CULTURE_SWISS;none;x
CULTURE_SYRIAN;none;x
CULTURE_TEREMEMBE;none;x
CULTURE_THAI;none;x
CULTURE_TIBETAN;none;x
CULTURE_TUAREG;none;x
CULTURE_TUPINAMBA;none;x
CULTURE_TURKISH;turkish;x
CULTURE_UGRIC;ugric;x
CULTURE_UKRAINIAN;none;x
CULTURE_UZBEHK;none;x
CULTURE_VIETNAMESE;none;x
CULTURE_YORUMBA;none;x
CULTURE_ZAPOTEK;none;x
#EOF;x